"Timestamp","What age range are you?","What is your gender?","What actions do you take regarding your health?","How would you rate your health?","Have you ever tracked your health and/or fitness?","Why do you not track your health and/or fitness?","How do you generally like to keep track of activities?","Which of the following did you keep track of? (Select all that apply.) ","What did you use to record your health and/or fitness? (Select all that apply.) ","If you used any app or device, could you tell us which one(s)? ","Why did you stop tracking your health and/or fitness?","Is there anything you liked about your health and/or fitness tracking method before you stopped? ","Who viewed your health and/or fitness information?","How was your health and/or fitness information used? ","What, if anything, has been helpful about the information you tracked? ","What would motivate you to track your health and/or fitness again?","Which of the following do you keep track of? (Select all that apply.) ","What do you use to record your health and/or fitness? (Select all that apply.) ","If you use any app or device, could you tell us which one(s)? ","Why do you track your health and/or fitness?","Is there anything you like about your current health and/or fitness tracking method?","In the last 30 days, how often have you tracked your health and/or fitness? ","Who views your health and/or fitness information?","How is your health and/or fitness information being used? ","What, if anything, has been helpful about the information you tracked? ","Is there anything that could be better about your current health and/or fitness tracking method?"
"2020/07/18 9:59:33 AM EST","Under 18","Man","Exercise;Learn more about your health (e.g. from online, friends or community)","3","Yes and I am currently still tracking","","","","","","","","","","","","Exercise (e.g. Steps taken, Distance, Calories burned);Mood","Mobile App","Google fit and Pixels","It's interesting to look back at the data I have collected.","My mood tracking method is very useful for displaying variations in my mood over time.","Everyday","Myself","It's only used by me. It simply interests me.","I have concluded that I am prone to mood swings when I have many plans for a week.","It could be more extensive."
"2020/07/18 10:15:07 AM EST","25 - 34","Man","Exercise","4","Yes, I have tracked before but not in the last 30 days","","","Cardiovascular (e.g. Heart rate, Blood pressure);Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned);Food / Calories Intake","Wearable;Mobile App","fitbit charge 3, oneplus 5t","the fitbit started glitching out then broke completely. In addition, google bought fitbit and therefore bought all of my data along with it which I was super annoyed by. Why can't I just pay for a product and not have my data sold off to some entity that I don't trust. ","It kept track of an estimate of spo2 and my heartrate. it was super cool seeing my spo2 going up while the heart rate was going down as my exercise routine got more and  more intense. ","Myself;My Friends;Probably google and fitbit employees. I bet they used it to train more algorithms.","I used it to tack my fitness (heart rate, weight) and sleep quality, ","seeing progress in my goals (calorie burns, heart rate, spo2). making sure that i'm getting enough sleep. ","a device not owned by google (or any other company that makes money off of selling data) that can do decent sleep tacking and doesn't suck in terms of battery life. also a renewed interest in running will probably help","","","","","","","","","",""
"2020/07/18 10:32:24 AM EST","18 - 24","Man","None of the above","2","No","I eat very little junk food, and am very thin. As such, I don't concern myself with health tracking and exercise.","To do lists and notes","","","","","","","","","","","","","","","","","","",""
"2020/07/18 10:40:09 AM EST","18 - 24","Man","Exercise","4","No","Too much effort","I don't track anything in particular","","","","","","","","","","","","","","","","","","",""
"2020/07/18 10:57:18 AM EST","35 - 44","Woman","Take medication and/or health supplements;Exercise;Maintain a diet;Track your health and/or fitness;Receive mental counseling;Learn more about your health (e.g. from online, friends or community)","4","Yes and I am currently still tracking","","","","","","","","","","","","Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned);Pain (e.g. Headache, Muscle pain, Joint pain);Menstrual Cycle","Wearable;Mobile App","Fitbit, Sleep Cycle, Flo, Strava","I want to know more about myself and it's impossible to memorize all by myself","Data visualization, articles, self challenge, coupons","3-4 times / week","Myself","Self assessment","It seems like the app found my period cycle.","No. I think it's enough for my current capacity."
"2020/07/18 11:08:54 AM EST","Under 18","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Maintain a diet;Track your health and/or fitness","3","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned);Food / Calories Intake;Skin Problems (e.g. Rash, Acne, Nail loss)","Wearable","Fitbit","it makes me feel better about my life because my health has kinda improved since I first started tracking","simple","Everyday","Myself","I use it to determine if I should walk a bit more, eat a bit less, sleep a bit more, those kinda things.","N/A","food tracking with fitbit is below par compared to other food tracking things but I'm too lazy to switch"
"2020/07/18 11:10:45 AM EST","18 - 24","Woman","Take medication and/or health supplements;Exercise;Track your health and/or fitness;Receive mental counseling;Learn more about your health (e.g. from online, friends or community)","4","Yes and I am currently still tracking","","","","","","","","","","","","Exercise (e.g. Steps taken, Distance, Calories burned);Food / Calories Intake;Digestive Problems (e.g. Nausea,  Vomiting, Constipation, Diarrhea);Skin Problems (e.g. Rash, Acne, Nail loss)","Pen and Paper;Mobile App","Apple Activity ""the activity ring thing""; Lifesum; ","For steps i took its just for fun and feel great if i walked a lot. Not following a specific diet but use Lifesum for nutrition to see whether my protein, fat and carb intakes are balanced ","relaxed and casual not strict which helps me maintain ","5-6 times / week","Myself","For my own information and helps me make choices on food or activity for the day","not sure what this question mean....","for food it's kinda hard to log things down"
"2020/07/18 11:22:37 AM EST","55 - 64","Woman","Learn more about your health (e.g. from online, friends or community)","3","Yes, I have tracked before but not in the last 30 days","","","Cardiovascular (e.g. Heart rate, Blood pressure)","Pen and Paper","","Busy ","Mobil Apps","Myself","Self reference","Alert suffering from cancer ","Getting old","","","","","","","","","",""
"2020/07/18 11:29:19 AM EST","45 - 54","Man","Take medication and/or health supplements;Exercise","3","No","Busy","No idea","","","","","","","","","","","","","","","","","","",""
"2020/07/18 11:29:53 AM EST","45 - 54","Man","Exercise;Maintain a diet","4","Yes, I have tracked before but not in the last 30 days","","","Sleep (e.g. Sleep time, Sleep quality);Mood;Food / Calories Intake;Pain (e.g. Headache, Muscle pain, Joint pain);Digestive Problems (e.g. Nausea,  Vomiting, Constipation, Diarrhea);Respiratory Problems (e.g. Cough, Shortness of breath)","No tool. ","No tool","General picture is adequate.  Too detailed will increase anxiety ","Nil","Myself","Self evaluation and monitoring","Keep track on stability on health status","When there is significant health change.  ","","","","","","","","","",""
